Latitude,Longitude,Elevation
41.70647000,-87.9597400,207.0
41.70648000,-87.9597000,207.0
41.70652000,-87.9596500,207.0
41.70660000,-87.9595300,207.0
41.70666000,-87.9594600,207.0
41.70673000,-87.9594000,207.0
41.70689000,-87.9592000,207.0
41.70699000,-87.9589400,206.0
41.70699000,-87.9587800,206.0
41.70699000,-87.9587400,206.0
41.70701000,-87.9585700,206.0
41.70705000,-87.9585200,206.0
41.70710000,-87.9584800,206.0
41.70714000,-87.9584500,206.0
41.70719000,-87.9584100,206.0
41.70721000,-87.9583500,206.0
41.70725000,-87.9582700,207.0
41.70727000,-87.9581700,207.0
41.70731000,-87.9579200,208.0
41.70734000,-87.9577500,209.0
41.70742000,-87.9576100,209.0
41.70751000,-87.9574900,209.0
41.70758000,-87.9574300,209.0
41.70762000,-87.9573800,209.0
41.70766000,-87.9572900,209.0
41.70768000,-87.9572000,209.0
41.70769000,-87.9570600,209.0
41.70769000,-87.9569200,209.0
41.70770000,-87.9567200,209.0
41.70771000,-87.9566400,210.0
41.70772000,-87.9564900,210.0
41.70774000,-87.9564300,210.0
41.70777000,-87.9563800,210.0
41.70781000,-87.9563000,210.0
41.70784000,-87.9562700,210.0
41.70786000,-87.9562100,210.0
41.70790000,-87.9560500,210.0
41.70796000,-87.9558300,210.0
41.70801000,-87.9556800,211.0
41.70804000,-87.9556200,211.0
41.70808000,-87.9555600,211.0
41.70812000,-87.9555100,212.0
41.70816000,-87.9554700,212.0
41.70820000,-87.9554500,212.0
41.70824000,-87.9554400,212.0
41.70828000,-87.9554300,212.0
41.70834000,-87.9554300,212.0
41.70838000,-87.9554300,212.0
41.70844000,-87.9554400,212.0
41.70854000,-87.9554400,212.0
41.70875000,-87.9554400,212.0
41.70897000,-87.9554500,213.0
41.70937000,-87.9554200,213.0
41.70950000,-87.9554100,213.0
41.70959000,-87.9554100,213.0
41.70966000,-87.9554200,213.0
41.71031000,-87.9554600,211.0
41.71040000,-87.9554600,212.0
41.71048000,-87.9554600,213.0
41.71054000,-87.9554600,213.0
